politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q3265132,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Lucette%20lousteau.jpg,Lucette Lousteau,1948-12-20T00:00:00Z
http://www.wikidata.org/entity/Q3269521,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Socialist%20rally%20Zenith%202007%2005%2029%20n14.jpg,Lyne Cohen-Solal,1947-01-18T00:00:00Z
http://www.wikidata.org/entity/Q3287656,French businessperson and politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marc-Antoine%20Jamet.jpg,Marc-Antoine Jamet,1959-05-19T00:00:00Z
http://www.wikidata.org/entity/Q3288141,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/MJ%20wiki%20recadr%C3%A9.jpg,Marc Joulaud,1967-09-03T00:00:00Z
http://www.wikidata.org/entity/Q3288161,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Laffineur2.jpg,Marc Laffineur,1945-08-10T00:00:00Z
http://www.wikidata.org/entity/Q3288166,politician in France and a member of the Senate of France,http://commons.wikimedia.org/wiki/Special:FilePath/M%20Lam%C3%A9nie%205310.JPG,Marc Laménie,1956-07-11T00:00:00Z
http://www.wikidata.org/entity/Q3288193,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Manif%20pour%20tous%20Paris%202013-01-13%20n13.jpg,Marc Le Fur,1956-11-28T00:00:00Z
http://www.wikidata.org/entity/Q3288458,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Vampa.jpg,Marc Vampa,1946-06-08T00:00:00Z
http://www.wikidata.org/entity/Q3288709,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/MarcelBonnot.jpg,Marcel Bonnot,1946-05-24T00:00:00Z
http://www.wikidata.org/entity/Q3289343,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marcel-Rogemont.JPG,Marcel Rogemont,1948-01-03T00:00:00Z
http://www.wikidata.org/entity/Q3291298,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/MD001.jpg,Marianne Dubois,1957-12-17T00:00:00Z
http://www.wikidata.org/entity/Q3291512,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Rennes%2017%20juin%202012%20-%20MA%20Chapdelaine.JPG,Marie-Anne Chapdelaine,1962-03-20T00:00:00Z
http://www.wikidata.org/entity/Q3291527,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Anne%20Montchamp.jpg,Marie-Anne Montchamp,1957-11-01T00:00:00Z
http://www.wikidata.org/entity/Q3291630,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/01280032%20%28cropped%29.jpg,Marie-Christine Arnautu,1952-10-19T00:00:00Z
http://www.wikidata.org/entity/Q3291780,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-France%20Beaufils%202.jpg,Marie-France Beaufils,1946-11-22T00:00:00Z
http://www.wikidata.org/entity/Q3291808,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Fran%C3%A7oise%20Bechtel.jpg,Marie-Françoise Bechtel,1946-03-19T00:00:00Z
http://www.wikidata.org/entity/Q3291821,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Fran%C3%A7oise%20Clergeau.jpg,Marie-Françoise Clergeau,1948-05-02T00:00:00Z
http://www.wikidata.org/entity/Q3291830,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/MF%20de%20Tassigny.jpg,Marie-Françoise de Tassigny,1947-02-06T00:00:00Z
http://www.wikidata.org/entity/Q3291832,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Fran%C3%A7oise%20P%C3%A9rol-Dumont.PNG,Marie-Françoise Pérol-Dumont,1952-05-26T00:00:00Z
http://www.wikidata.org/entity/Q3291901,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20H%C3%A9l%C3%A8ne%20thoraval.png,Marie-Hélène Thoraval,1966-06-03T00:00:00Z
